26,55 Cancri b,41,263.3002,5.96,1996,Gas Giant,13.888,0.115227 AU,14.7,0,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94,13.4048687
27,55 Cancri c,41,54.3338,5.96,2004,Gas Giant,8.512,0.241376 AU,44.4,0.02,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94,7.363726353
28,55 Cancri d,41,1229.326,5.96,2002,Gas Giant,12.992,5.503 AU,4818,0.02,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94,71.51643122
29,55 Cancri e,41,8.08,5.96,2004,Super Earth,1.91,0.01544,0.7,0.03,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94,21.74880591
30,55 Cancri f,41,44.697,5.96,2007,Gas Giant,7.5824,0.788 AU,262,0.31,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94,7.634063769
31,61 Virginis b,28,5.1,4.74,2009,Neptune-like,2.11,0.050201 AU,4.2,0.12,6 Lyn,Radial Velocity,,,06h30m47.11s,+58d09m45.5s,4938,1.44,5.2,11.2485374
32,61 Virginis c,28,18.2,4.74,2009,Neptune-like,4.4576,0.2175 AU,38,0.14,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96,8.994147172
33,61 Virginis d,28,22.9,4.74,2009,Neptune-like,5.1072,0.476 AU,123,0.35,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96,8.621057523
34,6 Lyncis b,179,637.17,5.86,2008,Gas Giant,13.328,2.11 AU,949,0.07,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96,35.22217275
35,70 Virginis b,58,2374.33,4.97,1996,Gas Giant,12.656,0.481 AU,116.7,0.4,7 CMa,Radial Velocity,90,,06h36m41.04s,-19d15m21.2s,4826,1.34,4.87,145.5589583
36,75 Ceti b,271,951,5.35,2012,Gas Giant,13.104,2.1 AU,693.5,0.12,7 CMa,Radial Velocity,90,,06h36m41.04s,-19d15m21.2s,4826,1.34,4.87,54.38304731
